chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index,
0, 0, 101061, 0, 0, -1, 1, 0, 2, 0.0, 0.0, 0, Philip, 0.0, 484, False, Joined Nurnberg on loan until the end of the season on 4/1. - Expected back 01 Jul, 2020-01-10T20:00:21.434889Z, 39, 101061.jpg, 0.0, Heise, 0.7, False, None, n, 14, 45, 0, 49955, 460, 54519, 1941, 0.0, 0.0, Heise, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
75, 100, 128348, 0, 0, 0, 0, 0, 3, -0.2, -0.8, 0, Ibrahim, 0.2, 507, False, Knee injury - 75% chance of playing, 2020-01-24T15:00:18.438418Z, 45, 128348.jpg, 1.6, Amadou, 0.1, False, None, d, 14, 45, 18, 11473, 33, 10441, 274, 0.0, 4.0, Amadou, 756, 0, 0, 1, 20, 0, 0, 0, 1, 0, 0, 0, 122, 177.2, 18.3, 31.0, 22.7, 
None, None, 432735, 0, 0, -1, 1, 0, 4, 0.3, -0.2, 0, Adam, 0.8, 538, False, , None, 44, 432735.jpg, 1.5, Idah, 0.1, False, None, a, 14, 45, 3, 16357, 236, 12361, 533, 0.2, 0.7, Idah, 65, 0, 0, 0, 3, 0, 0, 0, 0, 0, 0, 0, 9, 3.0, 1.5, 4.0, 0.9, 
None, None, 233849, 0, 0, 0, 0, 0, 1, -0.5, -1.0, 0, Archie, 0.0, 551, False, , None, 40, 233849.jpg, 0.0, Mair, 0.1, False, None, a, 14, 45, 0, 6282, 159, 2839, 179, 0.0, 0.0, Mair, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 232667, 0, 0, 0, 0, 0, 2, 0.0, 0.0, 0, Akin, 0.0, 552, False, Joined St Mirren on loan until the end of the season on 8/1. - Expected back 01 Jul, 2020-01-08T10:30:20.484548Z, 40, 232667.jpg, 0.0, Famewo, 0.1, False, None, n, 14, 45, 0, 4547, 22, 4236, 207, 0.0, 0.0, Famewo, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 139110, 0, 0, 0, 0, 0, 3, 3.5, 3.0, 2, Ondrej, 4.0, 601, False, , None, 50, 139110.jpg, 4.0, Duda, 0.1, False, None, a, 14, 45, 8, 12363, 1196, 2628, 1251, 0.8, 1.6, Duda, 167, 0, 1, 1, 2, 0, 0, 0, 0, 0, 0, 0, 40, 37.2, 66.0, 37.0, 14.0, 
None, None, 76306, 0, 0, 0, 0, 0, 3, 1.0, 0.5, 2, Lukas, 1.5, 602, False, , None, 45, 76306.jpg, 1.5, Rupp, 0.0, False, None, a, 14, 45, 3, 246, 112, 101, 50, 0.3, 0.7, Rupp, 86, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 9, 0.0, 17.3, 24.0, 3.9, 
100, 100, 178304, -1, 1, -4, 4, 1, 4, 1.2, 0.2, 1, Lys, 1.2, 70, False, , 2019-12-08T16:00:13.029423Z, 46, 178304.jpg, 3.2, Mousset, 2.7, False, None, a, 15, 49, 67, 736568, 9125, 601088, 17597, 0.3, 14.3, Mousset, 967, 5, 3, 3, 11, 0, 0, 0, 0, 0, 0, 9, 197, 244.2, 137.2, 423.0, 79.4, 
None, None, 63426, 0, 0, 1, -1, 1, 2, 3.5, 2.5, 2, Enda, 3.5, 291, False, , None, 51, 63426.jpg, 3.8, Stevens, 2.3, False, None, a, 15, 49, 90, 299978, 13316, 177275, 6749, 0.7, 17.6, Stevens, 2160, 1, 2, 8, 23, 0, 0, 0, 4, 0, 0, 8, 435, 441.2, 417.2, 201.0, 105.9, 
None, None, 87121, 0, 0, -3, 3, 0, 2, 0.0, -1.0, 0, Kieron, 0.0, 292, False, , None, 42, 87121.jpg, 0.0, Freeman, 0.1, False, None, a, 15, 49, 0, 4240, 99, 10334, 151, 0.0, 0.0, Freeman, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
