chance_of_playing_next_round, chance_of_playing_this_round, code, cost_change_event, cost_change_event_fall, cost_change_start, cost_change_start_fall, dreamteam_count, element_type, ep_next, ep_this, event_points, first_name, form, id, in_dreamteam, news, news_added, now_cost, photo, points_per_game, second_name, selected_by_percent, special, squad_number, status, team, team_code, total_points, transfers_in, transfers_in_event, transfers_out, transfers_out_event, value_form, value_season, web_name, minutes, goals_scored, assists, clean_sheets, goals_conceded, own_goals, penalties_saved, penalties_missed, yellow_cards, red_cards, saves, bonus, bps, influence, creativity, threat, ict_index
100, 100, 54764, 0, 0, -1, 1, 0, 4, -1.5, -1.5, 0, Jonathan, 0.0, 26, False, , 2019-10-03T12:30:10.314025Z, 54, 54764.jpg, 1.0, Kodjia, 0.1, False, None, a, 2, 7, 1, 2493, 147, 24483, 187, 0.0, 0.2, Kodjia, 16, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 4, 0.0, 0.0, 2.0, 0.2, 
100, 100, 98770, 0, 0, -1, 1, 0, 1, -1.5, -1.5, 0, Ørjan, 0.0, 27, False, , 2019-07-30T15:00:08.973693Z, 44, 98770.jpg, 0.0, Nyland, 0.2, False, None, a, 2, 7, 0, 2061, 44, 6998, 185, 0.0, 0.0, Nyland, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 85242, 0, 0, -3, 3, 1, 3, 2.0, 2.0, 0, Conor, 3.5, 28, False, , None, 57, 85242.jpg, 3.0, Hourihane, 0.1, False, None, a, 2, 7, 18, 4758, 213, 15071, 556, 0.6, 3.2, Hourihane, 334, 1, 1, 1, 5, 0, 0, 0, 2, 0, 0, 1, 71, 97.2, 118.2, 111.0, 32.6, 
75, None, 114283, 0, 0, -1, 1, 1, 3, 3.2, 4.3, 1, Jack, 5.8, 29, False, Calf injury - 75% chance of playing, 2019-10-26T18:30:22.524063Z, 59, 114283.jpg, 4.3, Grealish, 4.6, False, None, d, 2, 7, 43, 221125, 12392, 292733, 28981, 1.0, 7.3, Grealish, 893, 2, 3, 2, 16, 0, 0, 0, 3, 0, 0, 5, 190, 293.6, 324.7, 206.0, 82.5, 
100, 100, 193488, 0, 0, 0, 0, 0, 3, 3.3, 3.3, 1, Anwar, 4.8, 30, False, , 2019-08-04T16:30:15.264156Z, 55, 193488.jpg, 4.1, El Ghazi, 1.6, False, None, a, 2, 7, 37, 148657, 6386, 70136, 16309, 0.9, 6.7, El Ghazi, 565, 2, 3, 2, 10, 0, 0, 0, 0, 0, 0, 0, 108, 174.4, 125.8, 272.0, 57.1, 
None, None, 122806, -1, 1, 3, -3, 0, 3, 1.7, 1.7, 2, John, 3.2, 31, False, , None, 58, 122806.jpg, 4.3, McGinn, 11.3, False, None, a, 2, 7, 43, 1024628, 11646, 467075, 62231, 0.5, 7.3, McGinn, 900, 3, 1, 2, 16, 0, 0, 0, 1, 0, 0, 4, 158, 265.6, 199.2, 298.0, 76.2, 
0, 0, 174597, 0, 0, -1, 1, 0, 3, 0.0, 0.0, 0, Andre, 0.0, 32, False, Joined Preston North End on loan until the end of the season on 1/8. - Expected back 01 Jul, 2019-08-04T16:30:15.274646Z, 49, 174597.jpg, 0.0, Green, 0.0, False, None, n, 2, 7, 0, 188, 9, 1173, 15, 0.0, 0.0, Green, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
0, 0, 27770, 0, 0, 0, 0, 0, 3, 0.0, 0.0, 0, Birkir, 0.0, 33, False, Left Aston Villa by mutual consent on 8/8., 2019-08-08T15:30:15.672945Z, 45, 27770.jpg, 0.0, Bjarnason, 0.0, False, None, u, 2, 7, 0, 432, 13, 6718, 73, 0.0, 0.0, Bjarnason, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
75, None, 221239, 0, 0, -1, 1, 0, 3, -0.7, -0.7, 1, Keinan, 0.8, 34, False, Hamstring injury - 75% chance of playing, 2019-10-30T23:30:12.401435Z, 44, 221239.jpg, 1.0, Davis, 0.3, False, None, d, 2, 7, 6, 12896, 860, 18378, 813, 0.2, 1.4, Davis, 74, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 16, 14.4, 23.3, 46.0, 8.2, 
100, 100, 40564, 0, 0, -1, 1, 0, 3, -1.5, -1.5, 0, Henri, 0.0, 35, False, , 2019-09-25T23:00:14.221337Z, 44, 40564.jpg, 1.0, Lansbury, 0.6, False, None, a, 2, 7, 2, 65068, 195, 43648, 1692, 0.0, 0.5, Lansbury, 9, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 5, 2.2, 1.1, 4.0, 0.8, 
0, 0, 89274, 0, 0, -2, 2, 0, 3, 0.0, 0.0, 0, José Ignacio, 0.0, 36, False, Hernia - Expected back 25 Nov, 2019-10-17T13:00:14.384046Z, 58, 89274.jpg, 2.4, Peleteiro Romallo, 0.2, False, None, i, 2, 7, 12, 10681, 15, 21997, 742, 0.0, 2.1, Jota, 245, 0, 1, 2, 3, 0, 0, 0, 0, 0, 0, 0, 32, 41.8, 53.7, 21.0, 11.6, 
100, 100, 21205, 0, 0, 0, 0, 0, 1, 0.7, 0.7, 2, Tom, 2.2, 94, False, , 2019-10-08T22:30:12.278354Z, 45, 21205.jpg, 2.9, Heaton, 6.1, False, None, a, 2, 7, 29, 214725, 2589, 214012, 8760, 0.5, 6.4, Heaton, 900, 0, 0, 2, 16, 0, 0, 0, 0, 0, 28, 0, 159, 213.6, 0.0, 0.0, 21.2, 
100, 100, 169359, 0, 0, -1, 1, 1, 2, 4.7, 4.7, 1, Matt, 6.2, 309, False, , 2019-09-29T10:00:18.754454Z, 44, 169359.jpg, 6.2, Targett, 0.8, False, None, a, 2, 7, 25, 29991, 9496, 58540, 2561, 1.4, 5.7, Targett, 331, 1, 1, 1, 5, 0, 0, 0, 0, 0, 0, 5, 106, 127.2, 114.2, 24.0, 26.6, 
100, 100, 213345, 0, 0, 1, -1, 1, 4, 3.5, 3.5, 2, Wesley, 5.0, 428, False, , 2019-10-19T19:00:18.658995Z, 61, 213345.jpg, 4.4, Moraes, 2.8, False, None, a, 2, 7, 44, 319977, 17519, 214053, 17948, 0.8, 7.2, Wesley, 839, 4, 1, 2, 14, 0, 0, 1, 0, 0, 0, 7, 130, 199.0, 76.6, 375.0, 64.3, 
100, 100, 79852, 0, 0, -1, 1, 0, 1, -1.5, -1.5, 0, Jed, 0.0, 429, False, , 2019-08-05T15:00:10.959066Z, 44, 79852.jpg, 0.0, Steer, 0.1, False, None, a, 2, 7, 0, 842, 24, 4192, 115, 0.0, 0.0, Steer, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0.0, 0.0, 0.0, 0.0, 
None, None, 149484, 0, 0, 1, -1, 0, 2, 0.0, 0.0, 1, Tyrone, 1.5, 445, False, , None, 46, 149484.jpg, 2.8, Mings, 5.5, False, None, a, 2, 7, 28, 413683, 3127, 192441, 12188, 0.3, 6.1, Mings, 900, 0, 1, 2, 16, 0, 0, 0, 1, 0, 0, 3, 180, 282.2, 38.0, 14.0, 33.5, 
100, 100, 199798, 0, 0, -2, 2, 0, 2, -1.3, -1.3, 0, Ezri, 0.2, 452, False, , 2019-08-05T15:00:10.970602Z, 43, 199798.jpg, 1.0, Konsa Ngoyo, 0.1, False, None, a, 2, 7, 1, 758, 47, 2881, 86, 0.0, 0.2, Konsa, 15, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 4, 6.2, 0.3, 0.0, 0.7, 
100, 100, 108156, 0, 0, 0, 0, 1, 2, 1.0, 1.0, 1, Bjorn, 2.5, 455, False, , 2019-10-05T16:00:14.611602Z, 45, 108156.jpg, 3.0, Engels, 0.9, False, None, a, 2, 7, 30, 87442, 1329, 43522, 2476, 0.6, 6.7, Engels, 884, 0, 0, 3, 15, 0, 0, 0, 1, 0, 0, 4, 162, 177.4, 5.1, 19.0, 20.4, 
None, None, 203368, 0, 0, -1, 1, 0, 2, 1.3, 1.3, 1, Frédéric, 2.8, 458, False, , None, 44, 203368.jpg, 3.0, Guilbert, 0.8, False, None, a, 2, 7, 24, 55119, 818, 39562, 1580, 0.6, 5.5, Guilbert, 714, 0, 2, 2, 11, 0, 0, 0, 3, 0, 0, 0, 112, 163.2, 104.3, 31.0, 29.8, 
100, 100, 148508, 0, 0, -2, 2, 0, 3, 0.3, 0.3, 2, Mahmoud Ahmed, 1.8, 465, False, , 2019-08-31T16:30:09.941826Z, 53, 148508.jpg, 1.3, Ibrahim Hassan, 1.0, False, None, a, 2, 7, 12, 50705, 1112, 184413, 2633, 0.3, 2.3, Trézéguet, 512, 0, 1, 1, 9, 0, 0, 0, 2, 1, 0, 0, 30, 95.4, 102.3, 245.0, 44.1, 
None, None, 230046, 0, 0, 0, 0, 0, 3, 0.7, 0.7, 2, Douglas Luiz, 2.2, 470, False, , None, 45, 230046.jpg, 3.1, Soares de Paulo, 3.9, False, None, a, 2, 7, 25, 451229, 10728, 268351, 12922, 0.5, 5.6, Douglas Luiz, 383, 2, 0, 2, 8, 0, 0, 0, 1, 0, 0, 2, 91, 122.4, 47.9, 52.0, 22.3, 
